"UNKNOWN" "UNKNOWN" "Name" "No."
"259" "2006" " 59" "Phoebe" "67"
"260" "2006" " 60" "Riley" "67"
"261" "2006" " 61" "Lauren" "65"
"262" "2006" " 62" "Alice" "63"
"263" "2006" " 63" "Mya" "63"
"264" "2006" " 64" "Stella" "63"
"265" "2006" " 65" "Angel" "58"
"266" "2006" " 66" "Eden" "58"
"267" "2006" " 67" "Laura" "57"
"268" "2006" " 68" "Kaitlyn" "56"
"269" "2006" " 69" "Mikayla" "56"
"270" "2006" " 70" "Poppy" "56"
"271" "2006" " 71" "Abby" "55"
"272" "2006" " 72" "Isabelle" "55"
"273" "2006" " 73" "Nikita" "55"
"274" "2006" " 74" "Caitlyn" "54"
"275" "2006" " 75" "Harmony" "54"
"276" "2006" " 76" "Trinity" "54"
"277" "2006" " 77" "Lilly" "53"
"278" "2006" " 78" "Ashlee" "52"
"279" "2006" " 79" "Gabrielle" "51"
"280" "2006" " 80" "Brooklyn" "50"
"281" "2006" " 81" "Chelsea" "50"
"282" "2006" " 82" "Bella" "49"
"283" "2006" " 83" "Nevaeh" "49"
"284" "2006" " 84" "Nicole" "49"
"285" "2006" " 85" "Scarlett" "49"
"286" "2006" " 86" "Libby" "48"
"287" "2006" " 87" "Rose" "48"
"288" "2006" " 88" "Taylor" "48"
"289" "2006" " 89" "Isabel" "47"
"290" "2006" " 90" "Maya" "46"
"291" "2006" " 91" "Tessa" "46"
"292" "2006" " 92" "Aimee" "45"
"293" "2006" " 93" "Anahera" "45"
"294" "2006" " 94" "Faith" "45"
"295" "2006" " 95" "Jessie" "45"
"296" "2006" " 96" "Courtney" "44"
"297" "2006" " 97" "Maria" "44"
"298" "2006" " 98" "Rachel" "44"
"299" "2006" " 99" "Skye" "44"
"300" "2006" "100" "Alexis" "43"
"301" "2007" "  1" "Ella" "418"
"302" "2007" "  2" "Sophie" "351"
"303" "2007" "  3" "Olivia" "285"
"304" "2007" "  4" "Emma" "280"
"305" "2007" "  5" "Charlotte" "263"
"306" "2007" "  6" "Emily" "258"
"307" "2007" "  7" "Lily" "255"
"308" "2007" "  8" "Grace" "254"
"309" "2007" "  9" "Hannah" "241"
"310" "2007" " 10" "Isabella" "241"
"311" "2007" " 11" "Jessica" "228"
"312" "2007" " 12" "Ruby" "219"
"313" "2007" " 13" "Amelia" "198"
"314" "2007" " 14" "Lucy" "196"
"315" "2007" " 15" "Madison" "196"
"316" "2007" " 16" "Chloe" "187"
"317" "2007" " 17" "Brooke" "173"
"318" "2007" " 18" "Ava" "170"
"319" "2007" " 19" "Mia" "169"
"320" "2007" " 20" "Paige" "163"
"321" "2007" " 21" "Zoe" "162"
"322" "2007" " 22" "Holly" "152"
"323" "2007" " 23" "Kate" "151"
"324" "2007" " 24" "Caitlin" "146"
"325" "2007" " 25" "Maia" "143"
"326" "2007" " 26" "Georgia" "142"
"327" "2007" " 27" "Samantha" "140"
"328" "2007" " 28" "Sophia" "137"
"329" "2007" " 29" "Sienna" "131"
"330" "2007" " 30" "Jade" "128"
"331" "2007" " 31" "Amber" "116"
"332" "2007" " 32" "Maddison" "116"
"333" "2007" " 33" "Sarah" "114"
"334" "2007" " 34" "Hayley" "111"
"335" "2007" " 35" "Amy" "109"
"336" "2007" " 36" "Summer" "108"
"337" "2007" " 37" "Jasmine" "107"
"338" "2007" " 38" "Nevaeh" "107"
"339" "2007" " 39" "Abigail" "104"
"340" "2007" " 40" "Eden" "102"
"341" "2007" " 41" "Eva" "101"
"342" "2007" " 42" "Katie" "94"
"343" "2007" " 43" "Keira" "91"
"344" "2007" " 44" "Mikayla" "90"
"345" "2007" " 45" "Isabelle" "88"
"346" "2007" " 46" "Anna" "86"
"347" "2007" " 47" "Bella" "83"
"348" "2007" " 48" "Leah" "83"
"349" "2007" " 49" "Poppy" "83"
"350" "2007" " 50" "Isla" "82"
"351" "2007" " 51" "Kayla" "80"
"352" "2007" " 52" "Elizabeth" "79"
"353" "2007" " 53" "Molly" "79"
"354" "2007" " 54" "Tayla" "78"
"355" "2007" " 55" "Alyssa" "77"
"356" "2007" " 56" "Danielle" "74"
"357" "2007" " 57" "Stella" "72"
"358" "2007" " 58" "Zara" "71"
"359" "2007" " 59" "Mackenzie" "69"
"360" "2007" " 60" "Jorja" "67"
"361" "2007" " 61" "Alice" "65"
"362" "2007" " 62" "Faith" "65"
"363" "2007" " 63" "Chelsea" "63"
"364" "2007" " 64" "Rebecca" "63"
"365" "2007" " 65" "Savannah" "63"
"366" "2007" " 66" "Caitlyn" "62"
"367" "2007" " 67" "Taylor" "60"
"368" "2007" " 68" "Lilly" "59"
"369" "2007" " 69" "Madeleine" "59"
"370" "2007" " 70" "Rose" "59"
"371" "2007" " 71" "Aaliyah" "58"
"372" "2007" " 72" "Angel" "58"
"373" "2007" " 73" "Lauren" "58"
"374" "2007" " 74" "Aria" "57"
"375" "2007" " 75" "Riley" "57"
"376" "2007" " 76" "Abby" "54"
"377" "2007" " 77" "Maria" "54"
"378" "2007" " 78" "Scarlett" "54"
"379" "2007" " 79" "Victoria" "54"
"380" "2007" " 80" "Alexis" "53"
"381" "2007" " 81" "Skye" "53"
"382" "2007" " 82" "Trinity" "53"
"383" "2007" " 83" "Alexandra" "52"
"384" "2007" " 84" "Ashley" "52"
"385" "2007" " 85" "Gemma" "52"
"386" "2007" " 86" "Brianna" "50"
"387" "2007" " 87" "Maya" "50"
"388" "2007" " 88" "Mya" "50"
"389" "2007" " 89" "Gabriella" "49"
"390" "2007" " 90" "Harmony" "49"
"391" "2007" " 91" "Tessa" "49"
"392" "2007" " 92" "Anahera" "48"
"393" "2007" " 93" "Isabel" "48"
"394" "2007" " 94" "Kaitlyn" "48"
"395" "2007" " 95" "Manaia" "48"
"396" "2007" " 96" "Millie" "48"
"397" "2007" " 97" "Nikita" "48"
"398" "2007" " 98" "Phoebe" "48"
"399" "2007" " 99" "Ashlee" "47"
"400" "2007" "100" "Nicole" "47"
"401" "2008" "  1" "Sophie" "356"
"402" "2008" "  2" "Olivia" "308"
"403" "2008" "  3" "Ella" "297"
"404" "2008" "  4" "Isabella" "288"
"405" "2008" "  5" "Charlotte" "269"
"406" "2008" "  6" "Lily" "254"
"407" "2008" "  7" "Emma" "253"
"408" "2008" "  8" "Emily" "245"
"409" "2008" "  9" "Jessica" "245"
"410" "2008" " 10" "Grace" "237"
"411" "2008" " 11" "Hannah" "232"
"412" "2008" " 12" "Chloe" "227"
"413" "2008" " 13" "Ruby" "213"
"414" "2008" " 14" "Lucy" "202"
"415" "2008" " 15" "Ava" "196"
"416" "2008" " 16" "Amelia" "194"
"417" "2008" " 17" "Madison" "184"
"418" "2008" " 18" "Maia" "177"
"419" "2008" " 19" "Mia" "170"
"420" "2008" " 20" "Holly" "161"
"421" "2008" " 21" "Sophia" "149"
"422" "2008" " 22" "Zoe" "147"
"423" "2008" " 23" "Paige" "146"
"424" "2008" " 24" "Georgia" "144"
"425" "2008" " 25" "Kate" "143"
"426" "2008" " 26" "Brooke" "142"
"427" "2008" " 27" "Maddison" "137"
"428" "2008" " 28" "Samantha" "136"
"429" "2008" " 29" "Sienna" "118"
"430" "2008" " 30" "Isla" "111"
"431" "2008" " 31" "Jade" "107"
"432" "2008" " 32" "Sarah" "105"
"433" "2008" " 33" "Katie" "104"
"434" "2008" " 34" "Stella" "104"
"435" "2008" " 35" "Eva" "99"
"436" "2008" " 36" "Caitlin" "97"
"437" "2008" " 37" "Hayley" "96"
"438" "2008" " 38" "Jasmine" "95"
"439" "2008" " 39" "Elizabeth" "93"
"440" "2008" " 40" "Tayla" "93"
"441" "2008" " 41" "Anna" "92"
"442" "2008" " 42" "Summer" "91"
"443" "2008" " 43" "Bella" "90"
"444" "2008" " 44" "Amy" "89"
"445" "2008" " 45" "Isabelle" "85"
"446" "2008" " 46" "Mikayla" "84"
"447" "2008" " 47" "Molly" "84"
"448" "2008" " 48" "Keira" "83"
"449" "2008" " 49" "Kayla" "81"
"450" "2008" " 50" "Abigail" "80"
"451" "2008" " 51" "Amber" "80"
"452" "2008" " 52" "Zara" "80"
"453" "2008" " 53" "Alexis" "76"
"454" "2008" " 54" "Millie" "76"
"455" "2008" " 55" "Alyssa" "74"
"456" "2008" " 56" "Aaliyah" "72"
"457" "2008" " 57" "Eden" "72"
"458" "2008" " 58" "Taylor" "72"
"459" "2008" " 59" "Nevaeh" "71"
"460" "2008" " 60" "Gemma" "67"
"461" "2008" " 61" "Rebecca" "67"
"462" "2008" " 62" "Phoebe" "66"
"463" "2008" " 63" "Danielle" "64"
"464" "2008" " 64" "Mya" "64"
"465" "2008" " 65" "Aria" "62"
"466" "2008" " 66" "Leah" "61"
"467" "2008" " 67" "Ashley" "60"
"468" "2008" " 68" "Brooklyn" "60"
"469" "2008" " 69" "Poppy" "60"
"470" "2008" " 70" "Harmony" "59"
"471" "2008" " 71" "Laura" "59"
"472" "2008" " 72" "Manaia" "57"
"473" "2008" " 73" "Scarlett" "57"
"474" "2008" " 74" "Angel" "56"
"475" "2008" " 75" "Abby" "55"
"476" "2008" " 76" "Maya" "55"
"477" "2008" " 77" "Rose" "55"
"478" "2008" " 78" "Lilly" "54"
"479" "2008" " 79" "Riley" "54"
"480" "2008" " 80" "Victoria" "54"
"481" "2008" " 81" "Jorja" "53"
"482" "2008" " 82" "Hazel" "52"
"483" "2008" " 83" "Savannah" "51"
"484" "2008" " 84" "Tessa" "51"
"485" "2008" " 85" "Alexandra" "50"
"486" "2008" " 86" "Natalie" "50"
"487" "2008" " 87" "Peyton" "50"
"488" "2008" " 88" "Sofia" "50"
"489" "2008" " 89" "Maria" "49"
"490" "2008" " 90" "Lauren" "48"
"491" "2008" " 91" "Alice" "47"
"492" "2008" " 92" "Lucia" "47"
"493" "2008" " 93" "Anika" "46"
"494" "2008" " 94" "Caitlyn" "46"
"495" "2008" " 95" "Gabrielle" "46"
"496" "2008" " 96" "Mackenzie" "46"
"497" "2008" " 97" "Ayla" "45"
"498" "2008" " 98" "Chelsea" "45"
"499" "2008" " 99" "Gabriella" "45"
"500" "2008" "100" "Madeleine" "45"
"501" "2009" "  1" "Sophie" "386"
"502" "2009" "  2" "Ruby" "305"
"503" "2009" "  3" "Olivia" "304"
"504" "2009" "  4" "Isabella" "288"
"505" "2009" "  5" "Ella" "283"
"506" "2009" "  6" "Emily" "266"
"507" "2009" "  7" "Charlotte" "257"
"508" "2009" "  8" "Lily" "236"
"509" "2009" "  9" "Emma" "235"
"510" "2009" " 10" "Amelia" "222"
"511" "2009" " 11" "Chloe" "216"
"512" "2009" " 12" "Grace" "213"
"513" "2009" " 13" "Zoe" "201"
"514" "2009" " 14" "Paige" "195"
"515" "2009" " 15" "Ava" "191"
"516" "2009" " 16" "Lucy" "186"
"517" "2009" " 17" "Jessica" "175"
"518" "2009" " 18" "Isla" "169"
"519" "2009" " 19" "Hannah" "168"
"520" "2009" " 20" "Madison" "168"
"521" "2009" " 21" "Samantha" "148"
"522" "2009" " 22" "Georgia" "146"
"523" "2009" " 23" "Sienna" "143"
"524" "2009" " 24" "Mia" "134"
"525" "2009" " 25" "Holly" "134"
"526" "2009" " 26" "Sophia" "132"
"527" "2009" " 27" "Bella" "125"
"528" "2009" " 28" "Brooke" "123"
"529" "2009" " 29" "Maia" "118"
"530" "2009" " 30" "Maddison" "111"
"531" "2009" " 31" "Jasmine" "106"
"532" "2009" " 32" "Eva" "101"
"533" "2009" " 33" "Molly" "100"
"534" "2009" " 34" "Elizabeth" "100"
"535" "2009" " 35" "Hayley" "96"
"536" "2009" " 36" "Sarah" "94"
"537" "2009" " 37" "Amber" "92"
"538" "2009" " 38" "Kate" "88"
"539" "2009" " 39" "Caitlin" "88"
"540" "2009" " 40" "Isabelle" "88"
"541" "2009" " 41" "Tayla" "87"
"542" "2009" " 42" "Jade" "87"
"543" "2009" " 43" "Abigail" "87"
"544" "2009" " 44" "Amy" "80"
"545" "2009" " 45" "Kayla" "80"
"546" "2009" " 46" "Taylor" "79"
"547" "2009" " 47" "Keira" "79"
"548" "2009" " 48" "Zara" "78"
"549" "2009" " 49" "Stella" "77"
"550" "2009" " 50" "Eden" "75"
"551" "2009" " 51" "Anna" "75"
"552" "2009" " 52" "Summer" "73"
"553" "2009" " 53" "Nevaeh" "72"
"554" "2009" " 54" "Addison" "72"
"555" "2009" " 55" "Alice" "70"
"556" "2009" " 56" "Imogen" "68"
"557" "2009" " 57" "Katie" "68"
"558" "2009" " 58" "Peyton" "66"
"559" "2009" " 59" "Alyssa" "65"
"560" "2009" " 60" "Aaliyah" "63"
"561" "2009" " 61" "Rose" "61"
"562" "2009" " 62" "Leah" "61"
"563" "2009" " 63" "Matilda" "61"
"564" "2009" " 64" "Isabel" "60"
"565" "2009" " 65" "Poppy" "60"
"566" "2009" " 66" "Millie" "59"
"567" "2009" " 67" "Mackenzie" "59"
"568" "2009" " 68" "Phoebe" "58"
"569" "2009" " 69" "Alexis" "58"
"570" "2009" " 70" "Lilly" "57"
"571" "2009" " 71" "Mikayla" "55"
"572" "2009" " 72" "Scarlett" "53"
"573" "2009" " 73" "Savannah" "53"
"574" "2009" " 74" "Sofia" "53"
"575" "2009" " 75" "Riley" "51"
"576" "2009" " 76" "Hazel" "50"
"577" "2009" " 77" "Bailey" "50"
"578" "2009" " 78" "Brooklyn" "49"
"579" "2009" " 79" "Abby" "49"
"580" "2009" " 80" "Daisy" "49"
"581" "2009" " 81" "Lauren" "49"
"582" "2009" " 82" "Tessa" "48"
"583" "2009" " 83" "Rebecca" "48"
"584" "2009" " 84" "Alexandra" "48"
"585" "2009" " 85" "Ashley" "47"
"586" "2009" " 86" "Anahera" "47"
"587" "2009" " 87" "Manaia" "47"
"588" "2009" " 88" "Katelyn" "46"
"589" "2009" " 89" "Piper" "46"
"590" "2009" " 90" "Lola" "46"
"591" "2009" " 91" "Madeline" "46"
"592" "2009" " 92" "Faith" "45"
"593" "2009" " 93" "Annabelle" "45"
"594" "2009" " 94" "Violet" "45"
"595" "2009" " 95" "Aria" "45"
"596" "2009" " 96" "Maria" "45"
"597" "2009" " 97" "Natalie" "44"
"598" "2009" " 98" "Madeleine" "44"
"599" "2009" " 99" "Ariana" "44"
"600" "2009" "100" "Ayla" "44"
"601" "2010" "  1" "Sophie" "377"
"602" "2010" "  2" "Olivia" "335"
"603" "2010" "  3" "Ruby" "322"
"604" "2010" "  4" "Charlotte" "305"
"605" "2010" "  5" "Isabella" "286"
"606" "2010" "  6" "Lily" "281"
"607" "2010" "  7" "Ella" "277"
"608" "2010" "  8" "Chloe" "262"
"609" "2010" "  9" "Emily" "232"
"610" "2010" " 10" "Emma" "228"
"611" "2010" " 11" "Zoe" "219"
"612" "2010" " 12" "Ava" "217"
"613" "2010" " 13" "Amelia" "216"
"614" "2010" " 14" "Lucy" "205"
"615" "2010" " 15" "Grace" "192"
"616" "2010" " 16" "Mia" "187"
"617" "2010" " 17" "Jessica" "179"
"618" "2010" " 18" "Paige" "176"
"619" "2010" " 19" "Hannah" "175"
"620" "2010" " 20" "Madison" "172"
"621" "2010" " 21" "Isla" "166"
"622" "2010" " 22" "Sophia" "163"
"623" "2010" " 23" "Georgia" "149"
"624" "2010" " 24" "Eva" "142"
"625" "2010" " 25" "Sienna" "127"
"626" "2010" " 26" "Holly" "124"
"627" "2010" " 27" "Bella" "117"
"628" "2010" " 28" "Brooke" "114"
